zip,date,predicted_price,model_used
20017,2026-02-28,532050.351486706,arima
20017,2026-03-31,532047.119771308,arima
20017,2026-04-30,532046.6344917747,arima
20017,2026-05-31,532046.5616214267,arima
20017,2026-06-30,532046.5506790992,arima
20017,2026-07-31,532046.5490359819,arima
20017,2026-08-31,532046.5487892488,arima
20017,2026-09-30,532046.5487521989,arima
20017,2026-10-31,532046.5487466354,arima
20017,2026-11-30,532046.5487458,arima
20017,2026-12-31,532046.5487456745,arima
20017,2027-01-31,532046.5487456557,arima
20017,2027-02-28,532046.5487456529,arima
20017,2027-03-31,532046.5487456524,arima
20017,2027-04-30,532046.5487456523,arima
20017,2027-05-31,532046.5487456523,arima
20017,2027-06-30,532046.5487456523,arima
20017,2027-07-31,532046.5487456523,arima
20017,2027-08-31,532046.5487456523,arima
20017,2027-09-30,532046.5487456523,arima
20017,2027-10-31,532046.5487456523,arima
20017,2027-11-30,532046.5487456523,arima
20017,2027-12-31,532046.5487456523,arima
20018,2026-01-31,547016.3744288353,arima
20018,2026-02-28,546992.6350719236,arima
20018,2026-03-31,546988.7111419322,arima
20018,2026-04-30,546988.0625470004,arima
20018,2026-05-31,546987.9553393319,arima
20018,2026-06-30,546987.9376187429,arima
20018,2026-07-31,546987.9346896682,arima
20018,2026-08-31,546987.9342055151,arima
20018,2026-09-30,546987.9341254884,arima
20018,2026-10-31,546987.9341122606,arima
20018,2026-11-30,546987.9341100742,arima
20018,2026-12-31,546987.9341097128,arima
20018,2027-01-31,546987.9341096531,arima
20018,2027-02-28,546987.9341096432,arima
20018,2027-03-31,546987.9341096416,arima
20018,2027-04-30,546987.9341096414,arima
20018,2027-05-31,546987.9341096414,arima
20018,2027-06-30,546987.9341096414,arima
20018,2027-07-31,546987.9341096414,arima
20018,2027-08-31,546987.9341096414,arima
20018,2027-09-30,546987.9341096414,arima
20018,2027-10-31,546987.9341096414,arima
20018,2027-11-30,546987.9341096414,arima
20018,2027-12-31,546987.9341096414,arima
20019,2026-01-31,363350.72487263905,arima
20019,2026-02-28,363286.4719228434,arima
20019,2026-03-31,363274.60334060015,arima
20019,2026-04-30,363272.411017214,arima
20019,2026-05-31,363272.0060588347,arima
20019,2026-06-30,363271.93125632615,arima
20019,2026-07-31,363271.91743906593,arima
20019,2026-08-31,363271.9148867895,arima
20019,2026-09-30,363271.91441534186,arima
20019,2026-10-31,363271.91432825767,arima
20019,2026-11-30,363271.9143121718,arima
20019,2026-12-31,363271.9143092005,arima
20019,2027-01-31,363271.91430865164,arima
20019,2027-02-28,363271.91430855024,arima
20019,2027-03-31,363271.9143085315,arima
20019,2027-04-30,363271.91430852807,arima
20019,2027-05-31,363271.9143085274,arima
20019,2027-06-30,363271.9143085273,arima
20019,2027-07-31,363271.9143085273,arima
20019,2027-08-31,363271.9143085273,arima
20019,2027-09-30,363271.9143085273,arima
20019,2027-10-31,363271.9143085273,arima
20019,2027-11-30,363271.9143085273,arima
20019,2027-12-31,363271.9143085273,arima
20020,2026-01-31,368165.07683966827,arima
20020,2026-02-28,368122.56643791945,arima
20020,2026-03-31,368115.7469336746,arima
20020,2026-04-30,368114.6529511143,arima
20020,2026-05-31,368114.4774548026,arima
20020,2026-06-30,368114.44930174376,arima
20020,2026-07-31,368114.4447854396,arima
20020,2026-08-31,368114.4440609356,arima
20020,2026-09-30,368114.4439447109,arima
20020,2026-10-31,368114.44392606616,arima
20020,2026-11-30,368114.44392307516,arima
20020,2026-12-31,368114.44392259535,arima
